No.	Name	Chromosome No./Scaffold Id	BLAST (UniRef)	Gene ontology		
	1335 bp			GO:0003824	F	catalytic activity
12123	KWMTBOMO12123	Bomo_Chr20	PREDICTED:_exportin-2_[Papilio_xuthus]	GO:0005488	F	binding
	1665 bp			GO:0005515	F	protein binding
				GO:0006886	P	intracellular protein transport
12124	KWMTBOMO12124	Bomo_Chr20	Exportin-2_[Papilio_xuthus]	GO:0006886	P	intracellular protein transport
	249 bp			GO:0005488	F	binding
12125	KWMTBOMO12125	Bomo_Chr20	putative_importin_[Danaus_plexippus]	GO:0006886	P	intracellular protein transport
	957 bp			GO:0008536	F	Ran GTPase binding
				GO:0005488	F	binding
12126	KWMTBOMO12126	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106679591_[Halyomorpha_halys]	GO:0003676	F	nucleic acid binding
	966 bp			GO:0008270	F	zinc ion binding
12127	KWMTBOMO12127	Bomo_Chr20	PREDICTED:_uncharacterized_protein_DDB_G0287625-like_[Bombyx_mori]			
	822 bp					
12128	KWMTBOMO12128	Bomo_Chr20	"gag-pol_polyprotein,_partial_[Lasius_niger]"	GO:0015074	P	DNA integration
	2859 bp			GO:0003676	F	nucleic acid binding
12129	KWMTBOMO12129	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105394433_isoform_X1_[Plutella_xylostella]			
	1041 bp					
12130	KWMTBOMO12130	Bomo_Chr20	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Plutella_xylostella]	GO:0003676	F	nucleic acid binding
	3801 bp			GO:0008270	F	zinc ion binding
12131	KWMTBOMO12131	Bomo_Chr20	"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]"			
	1143 bp					
12132	KWMTBOMO12132	Bomo_Chr20	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	1878 bp					
12133	KWMTBOMO12133	Bomo_Chr20	copia_protein_[Lasius_niger]	GO:0003676	F	nucleic acid binding
	1227 bp			GO:0008270	F	zinc ion binding
12134	KWMTBOMO12134	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841793_[Bombyx_mori]			
	456 bp					
12135	KWMTBOMO12135	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101740007_[Bombyx_mori]			
	705 bp					
12136	KWMTBOMO12136	Bomo_Chr20	"Uncharacterized_protein_OBRU01_23417,_partial_[Operophtera_brumata]"			
	666 bp					
12137	KWMTBOMO12137	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841792_[Bombyx_mori]			
	822 bp					
12138	KWMTBOMO12138	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841797_isoform_X2_[Bombyx_mori]			
	564 bp					
12139	KWMTBOMO12139	Bomo_Chr20	hypothetical_protein_RR48_01602_[Papilio_machaon]			
	810 bp					
12140	KWMTBOMO12140	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC100907913_[Metaseiulus_occidentalis]			
	648 bp					
12141	KWMTBOMO12141	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101737933_[Bombyx_mori]			
	447 bp					
12142	KWMTBOMO12142	Bomo_Chr20	Yokozuna_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3135 bp			GO:0008270	F	zinc ion binding
				GO:0015074	P	DNA integration
12143	KWMTBOMO12143	Bomo_Chr20	hypothetical_protein_ALC57_15604_[Trachymyrmex_cornetzi]			
	3396 bp					
12144	KWMTBOMO12144	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841837_isoform_X1_[Bombyx_mori]			
	324 bp					
12145	KWMTBOMO12145	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC103309185_[Acyrthosiphon_pisum]			
	237 bp					
12146	KWMTBOMO12146	Bomo_Chr20	ORF_A_span_522-1895;_first_start_codon_at_663_[Autographa_californica_nucleopolyhedrovirus]			
	729 bp					
12147	KWMTBOMO12147	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106131092_[Amyelois_transitella]	GO:0015074	P	DNA integration
	1695 bp			GO:0003676	F	nucleic acid binding
12148	KWMTBOMO12148	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101735321_[Bombyx_mori]			
	945 bp					
12149	KWMTBOMO12149	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106708887_[Papilio_machaon]	GO:0003676	F	nucleic acid binding
	1917 bp			GO:0015074	P	DNA integration
12150	KWMTBOMO12150	Bomo_Chr20	polyprotein_[Bombyx_mori]	GO:0015074	P	DNA integration
	2130 bp			GO:0003676	F	nucleic acid binding
12151	KWMTBOMO12151	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC107442021_[Parasteatoda_tepidariorum]	GO:0003676	F	nucleic acid binding
	1149 bp					
12152	KWMTBOMO12152	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105842884_[Bombyx_mori]			
	627 bp					
12153	KWMTBOMO12153	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841832_[Bombyx_mori]			
	1767 bp					
12154	KWMTBOMO12154	Bomo_Chr20	RdRp_[Camponotus_nipponicus_virus]	GO:0003723	F	RNA binding
	2586 bp			GO:0003968	F	RNA-directed RNA polymerase activity
				GO:0006351	P	"transcription, DNA-dependent"
12155	KWMTBOMO12155	Bomo_Chr20	hypothetical_protein_ALC57_15604_[Trachymyrmex_cornetzi]			
	2646 bp					
12156	KWMTBOMO12156	Bomo_Chr20				
	234 bp					
12157	KWMTBOMO12157	Bomo_Chr20	"retrotransposon_protein,_putative,_Ty1-copia_subclass_[Oryza_sativa_Japonica_Group]"	GO:0015074	P	DNA integration
	1659 bp			GO:0003676	F	nucleic acid binding
				GO:0008270	F	zinc ion binding
12158	KWMTBOMO12158	Bomo_Chr20	PREDICTED:_putative_nuclease_HARBI1_[Papilio_machaon]			
	1140 bp					
12159	KWMTBOMO12159	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105843021_[Bombyx_mori]			
	630 bp					
12160	KWMTBOMO12160	Bomo_Chr20	RNA-directed_RNA_polymerase_L_[Papilio_machaon]	GO:0003968	F	RNA-directed RNA polymerase activity
	1938 bp			GO:0004482	F	mRNA (guanine-N7-)-methyltransferase activity
				GO:0005524	F	ATP binding
				GO:0006370	P	mRNA capping
				GO:0019012	C	virion
12161	KWMTBOMO12161	Bomo_Chr20	glycoprotein_precursor_[Wuhan_Mosquito_Virus_1]			
	531 bp					
12162	KWMTBOMO12162	Bomo_Chr20	PREDICTED:_myb/SANT-like_DNA-binding_domain-containing_protein_3_[Bombyx_mori]			
	387 bp					
12163	KWMTBOMO12163	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841875_isoform_X1_[Bombyx_mori]			
	630 bp					
12164	KWMTBOMO12164	Bomo_Chr20	PREDICTED:_putative_nuclease_HARBI1_[Bombyx_mori]			
	207 bp					
12165	KWMTBOMO12165	Bomo_Chr20	PREDICTED:_glutathione_synthetase-like_isoform_X2_[Amyelois_transitella]	GO:0004363	F	glutathione synthase activity
	1305 bp			GO:0005524	F	ATP binding
				GO:0006750	P	glutathione biosynthetic process
				GO:0016874	F	ligase activity
12166	KWMTBOMO12166	Bomo_Chr20	"PREDICTED:_NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_10,_mitochondrial_[Papilio_polytes]"			
	1197 bp					
12167	KWMTBOMO12167	Bomo_Chr20	PREDICTED:_RNA-binding_protein_PNO1_[Papilio_polytes]	GO:0003723	F	RNA binding
	744 bp			GO:0003676	F	nucleic acid binding
12168	KWMTBOMO12168	Bomo_Chr20	PREDICTED:_protein_TSSC1_[Papilio_polytes]	GO:0005515	F	protein binding
	1128 bp					
12169	KWMTBOMO12169	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106126637_[Papilio_xuthus]			
	1572 bp					
12170	KWMTBOMO12170	Bomo_Chr20	PREDICTED:_balbiani_ring_protein_3-like_[Bombyx_mori]	GO:0030414	F	protease inhibitor activity
	1848 bp			GO:0005515	F	protein binding
12171	KWMTBOMO12171	Bomo_Chr20	PREDICTED:_GMP_reductase_1-like_[Papilio_polytes]	GO:0003824	F	catalytic activity
	1041 bp			GO:0016491	F	oxidoreductase activity
				GO:0003920	F	GMP reductase activity
				GO:0009117	P	nucleotide metabolic process
12172	KWMTBOMO12172	Bomo_Chr20	hypothetical_protein_RR48_00708_[Papilio_machaon]			
	492 bp					
12173	KWMTBOMO12173	Bomo_Chr20	PREDICTED:_extracellular_signal-regulated_kinase_2_[Bombyx_mori]			
	522 bp					
12174	KWMTBOMO12174	Bomo_Chr20	PREDICTED:_extracellular_signal-regulated_kinase_2_[Bombyx_mori]	GO:0004707	F	MAP kinase activity
	840 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
				GO:0004672	F	protein kinase activity
12175	KWMTBOMO12175	Bomo_Chr20	PREDICTED:_plasminogen_receptor_(KT)_[Amyelois_transitella]			
	459 bp					
12176	KWMTBOMO12176	Bomo_Chr20	flap_endonuclease-1_[Bombyx_mori]	GO:0004518	F	nuclease activity
	1143 bp			GO:0006281	P	DNA repair
				GO:0003677	F	DNA binding
				GO:0003824	F	catalytic activity
				GO:0016788	F	"hydrolase activity, acting on ester bonds"
12177	KWMTBOMO12177	Bomo_Chr20	glucose-6-phosphate_isomerase_[Bombyx_mori]	GO:0004347	F	glucose-6-phosphate isomerase activity
	1671 bp			GO:0006094	P	gluconeogenesis
				GO:0006096	P	glycolysis
12178	KWMTBOMO12178	Bomo_Chr20	PREDICTED:_heparan-alpha-glucosaminide_N-acetyltransferase-like_[Amyelois_transitella]			
	1716 bp					
12179	KWMTBOMO12179	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101743399_[Bombyx_mori]			
	714 bp					
12180	KWMTBOMO12180	Bomo_Chr20	PREDICTED:_dolichyl-phosphate_mannosyltransferase_isoform_X1_[Bombyx_mori]			
	741 bp					
12181	KWMTBOMO12181	Bomo_Chr20	PREDICTED:_NF-kappa-B_inhibitor-interacting_Ras-like_protein_isoform_X1_[Papilio_polytes]	GO:0005525	F	GTP binding
	654 bp			GO:0007264	P	small GTPase mediated signal transduction
12182	KWMTBOMO12182	Bomo_Chr20	Sodium-dependent_neutral_amino_acid_transporter_SLC6A17_[Papilio_xuthus]	GO:0005328	F	neurotransmitter:sodium symporter activity
	2076 bp			GO:0006836	P	neurotransmitter transport
				GO:0016021	C	integral to membrane
12183	KWMTBOMO12183	Bomo_Chr20	antennal_esterase_precursor_[Bombyx_mori]			
	1200 bp					
12184	KWMTBOMO12184	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101742687_isoform_X2_[Bombyx_mori]	GO:0008270	F	zinc ion binding
	1749 bp					
12185	KWMTBOMO12185	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101742687_isoform_X2_[Bombyx_mori]	GO:0008270	F	zinc ion binding
	1206 bp					
12186	KWMTBOMO12186	Bomo_Chr20	AF461149_1_transposase_[Bombyx_mori]			
	336 bp					
12187	KWMTBOMO12187	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101735402_[Bombyx_mori]			
	468 bp					
12188	KWMTBOMO12188	Bomo_Chr20	hypothetical_protein_RR46_07967_[Papilio_xuthus]			
	354 bp					
12189	KWMTBOMO12189	Bomo_Chr20	cytochrome_c_oxidase_polypeptide_Vb_[Bombyx_mori]	GO:0004129	F	cytochrome-c oxidase activity
	369 bp			GO:0005740	C	mitochondrial envelope
12190	KWMTBOMO12190	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101737951_[Bombyx_mori]			
	1539 bp					
12191	KWMTBOMO12191	Bomo_Chr20	PREDICTED:_coiled-coil_domain-containing_protein_102A_[Bombyx_mori]			
	1116 bp					
12192	KWMTBOMO12192	Bomo_Chr20	PREDICTED:_nuclear_receptor_coactivator_6-like_[Bombyx_mori]			
	5115 bp					
12193	KWMTBOMO12193	Bomo_Chr20	PREDICTED:_cytochrome_c_oxidase_subunit_6C_[Papilio_xuthus]	GO:0004129	F	cytochrome-c oxidase activity
	237 bp					
12194	KWMTBOMO12194	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101738342_[Bombyx_mori]	GO:0005515	F	protein binding
	1200 bp					
12195	KWMTBOMO12195	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106135765_[Amyelois_transitella]			
	2481 bp					
12196	KWMTBOMO12196	Bomo_Chr20	Transcriptional_repressor_scratch_1_[Papilio_xuthus]	GO:0046872	F	metal ion binding
	291 bp			GO:0003676	F	nucleic acid binding
12197	KWMTBOMO12197	Bomo_Chr20	"reverse_transcriptase,_partial_[Operophtera_brumata]"			
	486 bp					
12198	KWMTBOMO12198	Bomo_Chr20	PREDICTED:_TLD_domain-containing_protein_1_isoform_X3_[Papilio_polytes]			
	1356 bp					
12199	KWMTBOMO12199	Bomo_Chr20	PREDICTED:_26S_protease_regulatory_subunit_8_[Amyelois_transitella]	GO:0005524	F	ATP binding
	1212 bp			GO:0005737	C	cytoplasm
				GO:0016787	F	hydrolase activity
				GO:0030163	P	protein catabolic process
12200	KWMTBOMO12200	Bomo_Chr20	vitellogenin_receptor_[Antheraea_pernyi]			
	975 bp					
12201	KWMTBOMO12201	Bomo_Chr20	vitellogenin_receptor_[Bombyx_mori]	GO:0005515	F	protein binding
	1203 bp			GO:0005509	F	calcium ion binding
12202	KWMTBOMO12202	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106708887_[Papilio_machaon]	GO:0015074	P	DNA integration
	5193 bp			GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
				GO:0003676	F	nucleic acid binding
12203	KWMTBOMO12203	Bomo_Chr20	vitellogenin_receptor_[Antheraea_pernyi]	GO:0005515	F	protein binding
	3309 bp					
12204	KWMTBOMO12204	Bomo_Chr20	vitellogenin_receptor_precursor_[Bombyx_mori]	GO:0005509	F	calcium ion binding
	1134 bp			GO:0005515	F	protein binding
12205	KWMTBOMO12205	Bomo_Chr20	"PREDICTED:_trifunctional_enzyme_subunit_beta,_mitochondrial_[Bombyx_mori]"	GO:0008152	P	metabolic process
	1422 bp			GO:0016747	F	"transferase activity, transferring groups other than amino-acyl groups"
				GO:0003824	F	catalytic activity
12206	KWMTBOMO12206	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106128291_isoform_X3_[Papilio_xuthus]	GO:0003677	F	DNA binding
	2775 bp			GO:0005634	C	nucleus
				GO:0005515	F	protein binding
12207	KWMTBOMO12207	Bomo_Chr20	PREDICTED:_probable_ATP-dependent_RNA_helicase_DDX27_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	2349 bp			GO:0005524	F	ATP binding
12208	KWMTBOMO12208	Bomo_Chr20	PREDICTED:_phosphatidylinositide_phosphatase_SAC1_[Bombyx_mori]	GO:0042578	F	phosphoric ester hydrolase activity
	1797 bp					
12209	KWMTBOMO12209	Bomo_Chr20	PREDICTED:_zinc_transporter_2-like_[Amyelois_transitella]	GO:0006812	P	cation transport
	1269 bp			GO:0008324	F	cation transmembrane transporter activity
				GO:0016021	C	integral to membrane
12210	KWMTBOMO12210	Bomo_Chr20	PREDICTED:_mucin-2-like_[Amyelois_transitella]	GO:0003676	F	nucleic acid binding
	1692 bp			GO:0015074	P	DNA integration
12211	KWMTBOMO12211	Bomo_Chr20	PREDICTED:_SH3_domain-binding_protein_5-like_[Papilio_xuthus]			
	1377 bp					
12212	KWMTBOMO12212	Bomo_Chr20	hypothetical_protein_KGM_08400_[Danaus_plexippus]	GO:0005868	C	cytoplasmic dynein complex
	294 bp			GO:0007018	P	microtubule-based movement
12213	KWMTBOMO12213	Bomo_Chr20	"PREDICTED:_KH_domain-containing,_RNA-binding,_signal_transduction-associated_protein_3-like_isoform_X3_[Bombyx_mori]"	GO:0003723	F	RNA binding
	1068 bp			GO:0003676	F	nucleic acid binding
12214	KWMTBOMO12214	Bomo_Chr20	PREDICTED:_transient_receptor_potential_channel_pyrexia-like_isoform_X2_[Bombyx_mori]	GO:0005515	F	protein binding
	3549 bp			GO:0005216	F	ion channel activity
				GO:0006811	P	ion transport
				GO:0016020	C	membrane
12215	KWMTBOMO12215	Bomo_Chr20	"PREDICTED:_KH_domain-containing,_RNA-binding,_signal_transduction-associated_protein_2-like_isoform_X1_[Bombyx_mori]"	GO:0003723	F	RNA binding
	1062 bp			GO:0003676	F	nucleic acid binding
12216	KWMTBOMO12216	Bomo_Chr20	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	1041 bp					
12217	KWMTBOMO12217	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101738890_[Bombyx_mori]			
	1833 bp					
12218	KWMTBOMO12218	Bomo_Chr20	reverse_transcriptase_[Lasius_niger]			
	2988 bp					
12219	KWMTBOMO12219	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105396011_[Plutella_xylostella]			
	3993 bp					
12220	KWMTBOMO12220	Bomo_Chr20	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	1035 bp					
12221	KWMTBOMO12221	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105388069_isoform_X2_[Plutella_xylostella]			
	702 bp					
12222	KWMTBOMO12222	Bomo_Chr20	"PREDICTED:_isoleucine--tRNA_ligase,_mitochondrial_isoform_X1_[Papilio_xuthus]"	GO:0006418	P	tRNA aminoacylation for protein translation
	4053 bp			GO:0000166	F	nucleotide binding
				GO:0004822	F	isoleucine-tRNA ligase activity
				GO:0005524	F	ATP binding
				GO:0005737	C	cytoplasm
				GO:0006428	P	isoleucyl-tRNA aminoacylation
				GO:0004812	F	aminoacyl-tRNA ligase activity
				GO:0000049	F	tRNA binding
				GO:0005975	P	carbohydrate metabolic process
				GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12223	KWMTBOMO12223	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
	1527 bp			GO:0005975	P	carbohydrate metabolic process
12224	KWMTBOMO12224	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
	1416 bp			GO:0005975	P	carbohydrate metabolic process
12225	KWMTBOMO12225	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
	1416 bp			GO:0005975	P	carbohydrate metabolic process
12226	KWMTBOMO12226	Bomo_Chr20	endonuclease-reverse_transcriptase_[Bombyx_mori]			
	1995 bp					
12227	KWMTBOMO12227	Bomo_Chr20	Myrosinase_1_[Papilio_xuthus]	GO:0005975	P	carbohydrate metabolic process
	1479 bp			GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12228	KWMTBOMO12228	Bomo_Chr20	endonuclease-reverse_transcriptase_[Danaus_plexippus]			
	819 bp					
12229	KWMTBOMO12229	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0005975	P	carbohydrate metabolic process
	570 bp			GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12230	KWMTBOMO12230	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0005975	P	carbohydrate metabolic process
	1137 bp			GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12231	KWMTBOMO12231	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101738890_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3720 bp			GO:0015074	P	DNA integration
12232	KWMTBOMO12232	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841862_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3351 bp			GO:0015074	P	DNA integration
12233	KWMTBOMO12233	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Papilio_xuthus]	GO:0005975	P	carbohydrate metabolic process
	1107 bp			GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12234	KWMTBOMO12234	Bomo_Chr20	reverse_transcriptase_[Bombyx_mori]			
	1884 bp					
12235	KWMTBOMO12235	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106139904_[Amyelois_transitella]			
	789 bp					
12236	KWMTBOMO12236	Bomo_Chr20	PREDICTED:_myrosinase_1-like_[Bombyx_mori]	GO:0005975	P	carbohydrate metabolic process
	1488 bp			GO:0004553	F	"hydrolase activity, hydrolyzing O-glycosyl compounds"
12237	KWMTBOMO12237	Bomo_Chr20	PREDICTED:_ATP-dependent_RNA_helicase_DDX24_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	2727 bp			GO:0005524	F	ATP binding
12238	KWMTBOMO12238	Bomo_Chr20	hypothetical_protein_KGM_04110_[Danaus_plexippus]	GO:0006479	P	protein amino acid methylation
	1596 bp			GO:0008168	F	methyltransferase activity
12239	KWMTBOMO12239	Bomo_Chr20	PREDICTED:_trafficking_protein_particle_complex_subunit_12_[Bombyx_mori]	GO:0005515	F	protein binding
	1713 bp					
12240	KWMTBOMO12240	Bomo_Chr20	PREDICTED:_vacuolar_protein_sorting-associated_protein_35_isoform_X1_[Bombyx_mori]	GO:0008565	F	protein transporter activity
	1110 bp			GO:0015031	P	protein transport
				GO:0030904	C	retromer complex
				GO:0042147	P	"retrograde transport, endosome to Golgi"
12241	KWMTBOMO12241	Bomo_Chr20	PREDICTED:_vacuolar_protein_sorting-associated_protein_35_isoform_X1_[Bombyx_mori]	GO:0008565	F	protein transporter activity
	1200 bp			GO:0015031	P	protein transport
				GO:0030904	C	retromer complex
				GO:0042147	P	"retrograde transport, endosome to Golgi"
12242	KWMTBOMO12242	Bomo_Chr20	PREDICTED:_protein_LTV1_homolog_[Bombyx_mori]			
	1485 bp					
12243	KWMTBOMO12243	Bomo_Chr20	SCF_apoptosis_response_protein_[Bombyx_mori]	GO:0000139	C	Golgi membrane
	492 bp					
12244	KWMTBOMO12244	Bomo_Chr20	PREDICTED:_protein_5NUC_[Bombyx_mori]	GO:0009166	P	nucleotide catabolic process
	1836 bp			GO:0016787	F	hydrolase activity
12245	KWMTBOMO12245	Bomo_Chr20	PREDICTED:_carbonyl_reductase_[NADPH]_3-like_[Papilio_machaon]			
	849 bp					
12246	KWMTBOMO12246	Bomo_Chr20	PREDICTED:_phospholipase_A1_2-like_[Amyelois_transitella]			
	1101 bp					
12247	KWMTBOMO12247	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106708887_[Papilio_machaon]	GO:0004190	F	aspartic-type endopeptidase activity
	2787 bp			GO:0006508	P	proteolysis
12248	KWMTBOMO12248	Bomo_Chr20	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Microplitis_demolitor]			
	1323 bp					
12249	KWMTBOMO12249	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105842415_[Bombyx_mori]			
	903 bp					
12250	KWMTBOMO12250	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC106709215_isoform_X2_[Papilio_machaon]			
	1404 bp					
12251	KWMTBOMO12251	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105387844_[Plutella_xylostella]	GO:0003676	F	nucleic acid binding
	5961 bp			GO:0008270	F	zinc ion binding
				GO:0015074	P	DNA integration
12252	KWMTBOMO12252	Bomo_Chr20	"PREDICTED:_nascent_polypeptide-associated_complex_subunit_alpha,_muscle-specific_form-like_[Bombyx_mori]"			
	4821 bp					
12253	KWMTBOMO12253	Bomo_Chr20	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Plutella_xylostella]	GO:0003676	F	nucleic acid binding
	3951 bp			GO:0008270	F	zinc ion binding
12254	KWMTBOMO12254	Bomo_Chr20	reverse_transcriptase_[Danaus_plexippus]	GO:0003676	F	nucleic acid binding
	5394 bp			GO:0008270	F	zinc ion binding
12255	KWMTBOMO12255	Bomo_Chr20	"PREDICTED:_uncharacterized_protein_LOC105842927,_partial_[Bombyx_mori]"	GO:0005515	F	protein binding
	1887 bp					
12256	KWMTBOMO12256	Bomo_Chr20				
	561 bp					
12257	KWMTBOMO12257	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105841615_[Bombyx_mori]			
	606 bp					
12258	KWMTBOMO12258	Bomo_Chr20	Counting_factor_associated_protein_D_[Papilio_xuthus]	GO:0006508	P	proteolysis
	1707 bp			GO:0008234	F	cysteine-type peptidase activity
12259	KWMTBOMO12259	Bomo_Chr20	PREDICTED:_gastrulation_defective_protein_1_homolog_[Papilio_xuthus]	GO:0005515	F	protein binding
	1977 bp					
12260	KWMTBOMO12260	Bomo_Chr20	mitochondrial_ribosomal_protein_L39_[Danaus_plexippus]	GO:0000166	F	nucleotide binding
	732 bp					
12261	KWMTBOMO12261	Bomo_Chr20	TP53-regulating_kinase_[Operophtera_brumata]	GO:0004674	F	protein serine/threonine kinase activity
	702 bp			GO:0004672	F	protein kinase activity
				GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
12262	KWMTBOMO12262	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC105386827_[Plutella_xylostella]	GO:0003676	F	nucleic acid binding
	4986 bp			GO:0015074	P	DNA integration
12263	KWMTBOMO12263	Bomo_Chr20	PREDICTED:_coactosin-like_protein_isoform_X1_[Amyelois_transitella]	GO:0003779	F	actin binding
	774 bp			GO:0005622	C	intracellular
12264	KWMTBOMO12264	Bomo_Chr20	PREDICTED:_probable_aminopeptidase_NPEPL1_[Bombyx_mori]	GO:0004177	F	aminopeptidase activity
	1572 bp			GO:0005622	C	intracellular
				GO:0006508	P	proteolysis
				GO:0005737	C	cytoplasm
				GO:0008235	F	metalloexopeptidase activity
				GO:0019538	P	protein metabolic process
				GO:0030145	F	manganese ion binding
12265	KWMTBOMO12265	Bomo_Chr20	PREDICTED:_oxysterol-binding_protein-related_protein_6_[Bombyx_mori]			
	4968 bp					
12266	KWMTBOMO12266	Bomo_Chr20	PREDICTED:_lipase_member_H-B-like_[Bombyx_mori]			
	1020 bp					
12267	KWMTBOMO12267	Bomo_Chr20	PREDICTED:_cathepsin_L1-like_[Bombyx_mori]	GO:0006508	P	proteolysis
	858 bp			GO:0008234	F	cysteine-type peptidase activity
12268	KWMTBOMO12268	Bomo_Chr20	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	3432 bp					
12269	KWMTBOMO12269	Bomo_Chr20	PREDICTED:_protein_lev-9-like_[Bombyx_mori]	GO:0005576	C	extracellular region
	294 bp			GO:0030414	F	protease inhibitor activity
12270	KWMTBOMO12270	Bomo_Chr20	"PREDICTED:_nascent_polypeptide-associated_complex_subunit_alpha,_muscle-specific_form-like_[Bombyx_mori]"			
	4602 bp					
12271	KWMTBOMO12271	Bomo_Chr20	PREDICTED:_protein_lev-9-like_[Bombyx_mori]			
	636 bp					
12272	KWMTBOMO12272	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101741571_[Bombyx_mori]			
	888 bp					
12273	KWMTBOMO12273	Bomo_Chr20	PREDICTED:_uncharacterized_protein_LOC101741571_[Bombyx_mori]	GO:0005515	F	protein binding
	3645 bp					
12274	KWMTBOMO12274	Bomo_Chr20	reverse_transcriptase_[Danaus_plexippus]	GO:0003676	F	nucleic acid binding
	4383 bp			GO:0008270	F	zinc ion binding
12275	KWMTBOMO12275	Bomo_Chr20	reverse_transcriptase_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	3900 bp			GO:0008270	F	zinc ion binding
